Skill,Language,Confidence
,en,0.11044929921627045
. Digital & Technology Skill,en,0.47334328293800354
.NET,ru,0.29248329997062683
.NET CORE,ru,0.22126436233520508
.NET MAUI,ru,0.4653621315956116
.net 5+,ceb,0.23956499993801117
.net Framework 4.8,en,0.2906912565231323
.net/wpf,en,0.18060895800590515
.net7,fa,0.12558099627494812
.netcore,ka,0.08002052456140518
.netmvc,ru,0.18148429691791534
2D Animation,en,0.4661949574947357
2D DRAWING,en,0.8859274983406067
2G,ru,0.7394098043441772
2–3 Years Experience In Business Development / Sales / Partnership,en,0.6288776397705078
2–4 Years Of Experience In Account Management / Client Service / Business Development (preferably In A Creative Or Digital Agency),en,0.6521952152252197
360 Digital Strategy,en,0.35930728912353516
3C Digital Products,en,0.7261030077934265
3D Animation,en,0.3052043616771698
3D Design,en,0.45382174849510193
3D GIS,ja,0.3172691762447357
3D Game,en,0.24005195498466492
3D Lighting,en,0.5618180632591248
3D Max,en,0.2027209997177124
3D Modeling,en,0.34916168451309204
3D Printing,en,0.519634485244751
3D Reconstruction,en,0.3925545811653137
3D Rendering,en,0.32788214087486267
3D Rigg,pl,0.30773627758026123
3DS MAX,en,0.367977112531662
3DS Max,en,0.33552077412605286
3G,ja,0.29392972588539124
3d Design Interior Design Autocad Google Sketchup 3d Rendering,en,0.505399227142334
3d Nail Art,en,0.703075110912323
3ds-max,fr,0.5442394614219666
3pl Coordination,en,0.24259670078754425
3–7 Years Experience Experience In Design Support Or Site Engineering Experience With Supervision  Experience Working With Tukans And Technicians,en,0.6761986017227173
4G Network,en,0.37176862359046936
5G Network,en,0.2932514250278473
5R,pl,0.9455115795135498
5S,en,0.6456679701805115
5w1h,ru,0.1885313242673874
8D Report,en,0.6767798662185669
A I  Accelerators,en,0.6854879856109619
A I Hardware,en,0.6894205212593079
A Natural People Person! You Enjoy Building Relationships And Making Others Feel Comfortable Working With You,en,0.6167898178100586
A/B Testing,en,0.2955823540687561
ABAP,en,0.6190953254699707
ACCRUATE,en,0.7746698260307312
ACCURATE,en,0.7028577327728271
AHLI K3 UMUM,ru,0.3136982321739197
AHU,en,0.3997396230697632
AI,en,0.33831554651260376
AI Agent,en,0.6077630519866943
AI Development,en,0.7328956127166748
AI Editor,en,0.7688227891921997
AI Prompt,en,0.2162478119134903
AI Prompting,en,0.33037689328193665
AI Specialist,en,0.7596073150634766
AI Systems,en,0.6060470938682556
AI Tools,en,0.6322903037071228
AI tools,en,0.6629640460014343
AI/ML,zh,0.20376022160053253
AIRFLOW,en,0.5775237083435059
ANSYS,de,0.18682530522346497
AOL,fr,0.4500740170478821
API Development,en,0.5896795988082886
API Gateway,en,0.32220274209976196
API Integration,en,0.5410045981407166
API Security,en,0.5082080364227295
API Testing,en,0.5411171913146973
API documentation,de,0.08379247784614563
API gateway,en,0.5444004535675049
APIgee,zh,0.26499325037002563
APM,ja,0.3173884451389313
AQL,en,0.3427896797657013
AR finance,en,0.45843765139579773
AS 400,fr,0.35422900319099426
AS400,de,0.16251729428768158
ASP.NET,ru,0.3562767207622528
ASP.NET Core,ru,0.31487908959388733
ATS,en,0.8045788407325745
AUTO CAD,it,0.2543122172355652
AWS GLue,en,0.36648696660995483
AWS Lambda,en,0.33018797636032104
Aaarrr Funnel Strategy,en,0.6034197211265564
Abaqus,en,0.6613737344741821
Abc Analysis,en,0.22660423815250397
Able To Communicate In English Both Spoken And Written,en,0.8246918320655823
Able To Connect Business Goals With Creative Execution,en,0.8689585328102112
Able To Drive A Car,en,0.8716651797294617
Able To Proactively Identify Opportunities And Take Action Without Waiting For Direction,en,0.6984448432922363
Able To Quickly Understand New Industries,en,0.7796772718429565
Able To Work On Weekends,en,0.858863353729248
Able To Work Under Pressure,en,0.8045253753662109
Able To Work Wholeheartedly,en,0.6468222737312317
Absensi,ca,0.39705193042755127
Ac Split/central,it,0.5442193746566772
Academic Research,en,0.7175078392028809
Academic Writing,en,0.8622100949287415
Access Control List,en,0.6034250259399414
Access Management,en,0.5363410711288452
Access Point,en,0.6340934634208679
Account Executive,en,0.7655516862869263
Account Management,en,0.47807368636131287
Account Manager,en,0.5021999478340149
Account Payable,en,0.36503198742866516
Account Receivable,en,0.8831207156181335
Account Reconciliation,en,0.49638837575912476
Account Recovery,en,0.5359020233154297
Accounting,en,0.7777380347251892
Accounting & Auditing Standards,en,0.6925079226493835
Accounting Consultant,en,0.658744752407074
Accounting Cycle,en,0.7561945915222168
Accounting Hotel,en,0.7607102990150452
Accounting Journal,en,0.32765719294548035
Accounting Knowledge,en,0.7113215923309326
Accounting Manager,en,0.7244185209274292
Accounting Software,en,0.6321545243263245
Accounts Payable,en,0.45917320251464844
Accounts Payable (hutang Supplier),en,0.5971882343292236
Accounts Receivable,en,0.9076457023620605
Accounts Receivable (piutang,en,0.7785705327987671
Accounts Receivable and Payable Accounting,en,0.8758524656295776
Accumark Gerber,en,0.24823401868343353
Accurate,en,0.9604012966156006
Accurate / Software Accounting,en,0.8064175248146057
Accurate 5,en,0.9190856218338013
Accurate Accounting,en,0.9281815886497498
Accurate Api,en,0.8598818778991699
Accurate Online,en,0.8344599604606628
Accurate Software,en,0.8225780725479126
Accurate System,en,0.8931673169136047
Accurate software,en,0.8905431032180786
Accurate system,en,0.9579763412475586
Accurrate,en,0.983117401599884
Achievements,en,0.600074291229248
Acrobat Pro,en,0.21597398817539215
Acrylic Nail,en,0.5518627166748047
Acting,en,0.9249963760375977
Active Communication,en,0.690083384513855
Active Directory,en,0.8027978539466858
Active Learning,en,0.758844792842865
Active Listening,en,0.5456702709197998
Activity Execution,en,0.6103250980377197
Acupuncture,fi,0.2873033583164215
Acurate,en,0.7093878388404846
Adaptabilitas,en,0.18106986582279205
Adaptability,en,0.6151687502861023
Adaptability & Business Understanding,en,0.6004735827445984
Adaptability & Initiative,en,0.620631217956543
Adaptability & Resilience,en,0.5780507326126099
Adaptability & Trend Awareness,en,0.5277960896492004
Adaptability (fleksibel Di Lapangan),ms,0.2769213020801544
Adaptabillity,en,0.5633755326271057
Adaptasi,id,0.20259317755699158
Adaptasi Yang Baik,id,0.33064520359039307
Adaptbillity,en,0.41853559017181396
Adaptif,fr,0.8743781447410583
Adaptif & Cepat Belajar,ms,0.4405656158924103
Adaptif Terhadap Tren,fr,0.4334852695465088
Addiction Recovery,en,0.4661233425140381
Addie Model,en,0.4968051016330719
Adhd,en,0.8531211018562317
Adl Devops,en,0.42885783314704895
Admin Marketplace,en,0.7849224209785461
Admin Online,en,0.3708640933036804
