"Job_Link","Title","Industry","Job_Category_parent","Job_Category","Salary_Mode","Min_Salary","Max_Salary","Skills","Job_Type","Work Arrangement","Education","Experience"
"https://glints.com/id/opportunities/jobs/aa723e68-e101-4c94-bfd3-e26886e78c1c","Brand Strategy Manager","Apparel & Fashion","Marketing","Marketing Director","N/A","0","0","Social Media, Digital Marketing, Marketing Communications","FULL_TIME","ONSITE","BACHELOR_DEGREE","3"
"https://glints.com/id/opportunities/jobs/41e45551-bb57-48f5-a8bb-c6fbf522e4d6","cashier","Restaurants","Services Industry","Cashier","MONTH","2000000","2200000","Cashier, Supermarket Cashier, Convenience Store Cashier, Shopping Mall Cashier","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/840234a3-8210-4646-ba5a-c39cc739d7e9","Operator Mesin Plastik (BLOW FILM)","Plastics","Mechanical Design & Manufacturing","Machine Operator","N/A","0","0","Production Machine Operation, Teamwork, Manufacturing Production, Machine Blown Film, Work Shifts, Production Sop, Basic Troubleshooting, Quality Control, Machine Setup, Product Inspection, Production Targets, Preventive Maintenance, Product Packaging , work discipline, Occupational Health And Safety Management System Standards, Attention to Detail, Raw Material Usage, Production process control, Housekeeping, Problem Solving","FULL_TIME","ONSITE","SECONDARY_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/d13fe103-2c72-4073-88b5-4912da3776da","Kitchen Helper Croco Bali","Food & Beverages","Services Industry","Kitchen Staff","MONTH","2900000","3500000","Cook, Kitchen Supporting Design, Catering Management, Teamwork, Home Cooking","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/981b03e3-25f0-4a1b-bfa7-7fef8ac07a56","UI/UX Designer","Information Technology and Services","Visual & Interactive Design","UI/UX Designer","N/A","0","0","Mobile UI Design, UI Design, Figma, User Experience Design, Usability Testing, UX Design, UX Research, Prototyping","FULL_TIME","ONSITE","BACHELOR_DEGREE","3"
"https://glints.com/id/opportunities/jobs/cbc201c6-3b48-42d6-b7c6-c81450374187","Video Content Creator","Food & Beverages","Marketing","Content Creator","N/A","0","0","Content Strategy, Content Editing, TikTok","PROJECT_BASED","HYBRID","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/45827f30-e947-4e2b-b9ff-78e1a071d91e","Cleaning Service (Surakarta)","Outsourcing/Offshoring","Services Industry","Cleaner","MONTH","2300000","2600000","Office Cleaning, Hotel Cleaning, Cleaning Service","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/8d0d4764-66ba-466e-93eb-679199552533","Cleaning Service (Semarang)","Outsourcing/Offshoring","Services Industry","Cleaner","MONTH","3400000","3700000","Office Cleaning, Cleaning Service, Hotel Cleaning","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/00247ab5-ccd6-49f7-ac0b-e16fac6a08de","Kasir (Part-time)","Food & Beverages","Services Industry","Cashier","MONTH","1000000","2000000","Supermarket Cashier, Cashier, Convenience Store Cashier","PART_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/cd20d5ac-eda2-454d-8ff8-e2d3c20b4ad4","COOK/KASIR","Food & Beverages","Services Industry","Cashier","MONTH","2000000","3000000","Credit Card Sales, Supermarket Cashier, Shopping Mall Cashier, Cashier, Convenience Store Cashier","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/cac7bc33-a19e-4f28-8596-08be0f6cc0ef","Staf Magang Pemasaran","Accounting","Marketing","Marketing Professionals","MONTH","1260000","2200000","Social Media, Digital Marketing, Marketing Strategy, Market Research, Marketing Communications","INTERNSHIP","HYBRID","DIPLOMA","0"
"https://glints.com/id/opportunities/jobs/a032fd08-829f-4dfe-8f4a-14cf8e66a31a","Perawat Home Care untuk Lansia (Penempatan Hongkong Resmi BP2MI)","Individual & Family Services","Services Industry","Care Worker","MONTH","10000000","12000000","Healthcare, Postoperative Care, Home Care, Personal Care, Elderly Care, Critical Care Nurse","CONTRACT","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/4a89f54b-3885-4f53-800d-0a961fafa450","Internal Audit Officer","Retail","Accounting","Auditor","N/A","0","0","Internal Audit, Accounting, Data analysis, Financial Report Audit, Artificial Intelligence, Microsoft Excel","INTERNSHIP","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/7482662f-e24c-4873-b7e5-1085a266524e","Kurir Motor Area Jakarta Selatan","Insurance","Supply Chain, Logistics & Transportation","Driver / Motorcycle Courier","MONTH","3500000","6000000","Customer Service, Logistics Distribution, Delivery","FULL_TIME","ONSITE","PRIMARY_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/2a0a0ffb-0c15-4e2c-88b8-f3c5b54cead8","Barista","Food & Beverages","Services Industry","Barista","MONTH","1000000","2000000","Coffee Shop, Latte Art, Tea Art","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/84c9e5b7-4309-4b08-8238-954573bd4166","Affiliate Specialist (Paid Internship/Magang)","Distributor","Marketing","Digital Marketing Specialist","N/A","0","0","Marketing Strategy, Instagram Marketing, Affiliate Marketing, Digital Marketing, Marketing Communications, Creative Marketing","INTERNSHIP","ONSITE","BACHELOR_DEGREE","0"
"https://glints.com/id/opportunities/jobs/ce272e1c-5350-4b09-a9bb-7bc8aa106026","KURIR MOTOR AREA BEKASI","Insurance","Supply Chain, Logistics & Transportation","Driver / Motorcycle Courier","MONTH","3500000","6000000","Logistics Distribution, Customer Service, Delivery","FULL_TIME","ONSITE","SECONDARY_SCHOOL","0"
