Skill,Language,Confidence
Adaptasi,id,0.20259317755699158
Adaptasi Yang Baik,id,0.33064520359039307
Admin Penjualan,id,0.4468976855278015
Admin Produksi,id,0.8150570392608643
Admin Produksi Kosmetik,id,0.7083075046539307
Administrasi Apotek,id,0.15551213920116425
Administrasi Dan Dokumentasi,id,0.43205153942108154
Administrasi Dasar,id,0.46346375346183777
Administrasi Database,id,0.31977880001068115
Administrasi Gudang,id,0.42003974318504333
Administrasi HR,id,0.37324976921081543
Administrasi Keuangan,id,0.7608057260513306
Administrasi Penjualan,id,0.6125594973564148
Administrasi Perpajakan,id,0.5194108486175537
Administrasi Produksi,id,0.7853849530220032
Administrasi Rumah Sakit,id,0.670220136642456
Administrasi Sekolah,id,0.4940384328365326
Administrasi Sipil,id,0.3986719846725464
Administrasi Tender,id,0.25306540727615356
Ai Untuk Marketing,id,0.6775580048561096
Akuakultur,id,0.3738941252231598
Akurasi,id,0.8499535918235779
Alat Kedokteran,id,0.820127546787262
Alat Kesehatan,id,0.9137673377990723
Alat Kesehatan Mata,id,0.8341429233551025
Alat Tes Psikologi,id,0.4115954637527466
Alat berat,id,0.4758746922016144
Alur Akuntansi,id,0.41318419575691223
Alur Kerja Maklon Kosmetik,id,0.35363689064979553
Alur Kerja Produksi,id,0.8074065446853638
Analisa Dasar Operasional,id,0.22639743983745575
Analisa Harga Satuan Pekerjaan,id,0.570503294467926
Analisa Keuangan,id,0.5022862553596497
Analisa Keuangan Proyek,id,0.5919105410575867
Analisa Laporan Keuangan,id,0.5296958684921265
Analisa penjualan,id,0.39856791496276855
Analisis Dampak Lingkungan,id,0.5351876020431519
Analisis Data Penjualan,id,0.31699931621551514
Analisis Gudang,id,0.30364200472831726
Analisis Hukum,id,0.554362952709198
Analisis Jaringan,id,0.41661590337753296
Analisis Jaringan Sistem,id,0.3314965069293976
Analisis Keamanan,id,0.2868986129760742
Analisis Proyek,id,0.20563924312591553
Analisis Selisih (variance Analysis),id,0.1776839941740036
Analitik Data,id,0.13349653780460358
Anamnesis & Pemeriksaan Fisik,id,0.7317938804626465
Anatomi dan fisiologi,id,0.5127307176589966
Angkat Barang,id,0.9321592450141907
Angkat Barang Kolian,id,0.7293024659156799
Animasi Ai,id,0.30829355120658875
Aplikasi Gambar Teknik,id,0.7963337302207947
Aplikasi Statistika,id,0.3610990047454834
Aplikasi Teknik,id,0.8937888145446777
Arsip Dokumen Keuangan,id,0.8003935813903809
Asesmen Tumbuh Kembang Anak,id,0.7017238140106201
Asisten Pribadi,id,0.4210183620452881
Asistensi Dokter,id,0.4639911353588104
Asuhan Kebidanan,id,0.6093230247497559
Asuhan Keperawatan,id,0.3325824737548828
Asuransi Kendaraan,id,0.5960124731063843
Atau Pelayanan Umum,id,0.38924214243888855
Audit Kepatuhan Sop Outlet,id,0.6148178577423096
BHS Inggris,id,0.9970083236694336
